tn,fp,fn,tp,sensitivity,specificity,precision,f1score,f2score,gmean_mba,gmean,abor
956,907,10,12,0.5454545454545454,0.5131508319914116,0.0130576713819368,0.0255047821466524,0.0595829195630585,0.2799004538134972,0.5290561915463208,RNA+ADASYN
444,1419,10,12,0.5454545454545454,0.2383252818035426,0.0083857442348008,0.0165175498967653,0.0394996708360763,0.1299956082564778,0.360549037242478,RNA+ADASYN
485,1378,13,9,0.4090909090909091,0.2603327965646806,0.0064888248017303,0.0127750177430801,0.0305084745762711,0.1064997804128239,0.3263430410056631,RNA+ADASYN
1208,655,12,10,0.4545454545454545,0.6484165324745035,0.0150375939849624,0.0291120815138282,0.0664010624169986,0.2947347874884106,0.542894821755016,RNA+ADASYN
729,1134,10,12,0.5454545454545454,0.391304347826087,0.0104712041884816,0.0205479452054794,0.0486223662884927,0.2134387351778656,0.4619943021054108,RNA+ADASYN
1412,451,12,10,0.4545454545454545,0.7579173376274826,0.0216919739696312,0.041407867494824,0.0910746812386156,0.3445078807397648,0.5869479369925111,RNA+ADASYN
1099,764,12,10,0.4545454545454545,0.5899087493290391,0.0129198966408268,0.0251256281407035,0.0580046403712296,0.2681403406041087,0.5178226922452401,RNA+ADASYN
1199,664,12,10,0.4545454545454545,0.6435856146001073,0.0148367952522255,0.028735632183908,0.0656167979002624,0.2925389157273215,0.5408686677256518,RNA+ADASYN
583,1280,4,18,0.8181818181818182,0.3129361245303274,0.0138674884437596,0.0272727272727272,0.0649350649350649,0.2560386473429951,0.5060026159448142,RNA+ADASYN
568,1295,10,12,0.5454545454545454,0.3048845947396672,0.0091813312930374,0.0180586907449209,0.043010752688172,0.1663006880398185,0.4077998136829129,RNA+ADASYN
1239,624,10,12,0.5454545454545454,0.6650563607085346,0.0188679245283018,0.0364741641337386,0.0828729281767955,0.3627580149319279,0.6022939605640487,RNA+ADASYN
622,1241,9,13,0.5909090909090909,0.333870101986044,0.0103668261562998,0.0203761755485893,0.048435171385991,0.1972868784462987,0.4441698756627905,RNA+ADASYN
1143,720,10,12,0.5454545454545454,0.6135265700483091,0.0163934426229508,0.0318302387267904,0.073170731707317,0.3346508563899868,0.578490152370796,RNA+ADASYN
1145,718,12,10,0.4545454545454545,0.6146001073537305,0.0137362637362637,0.0266666666666666,0.0612745098039215,0.2793636851607866,0.5285486592176605,RNA+ADASYN
1192,671,9,13,0.5909090909090909,0.6398282340311325,0.0190058479532163,0.036827195467422,0.0841968911917098,0.3780803201093056,0.6148823628217885,RNA+ADASYN
693,1170,13,9,0.4090909090909091,0.3719806763285024,0.0076335877862595,0.0149875104079933,0.0355169692186266,0.1521739130434782,0.3900947488027469,RNA+ADASYN
1281,582,10,12,0.5454545454545454,0.6876006441223832,0.0202020202020202,0.0389610389610389,0.0879765395894428,0.3750548967940272,0.6124172571001141,RNA+ADASYN
